id	time	ID_c	ID_o	natural	familiar	alternativa
kqnmc6t9205gtbakot8dd7d172	1635341383.1632	<id:c2>	<id:o2>	1	4	NA
kqnmc6t9205gtbakot8dd7d172	1635341396.0888	<id:c6>	<id:o6>	6	1	NA
kqnmc6t9205gtbakot8dd7d172	1635341408.37	<id:c11>	<id:o11>	6	1	NA
kqnmc6t9205gtbakot8dd7d172	1635341424.753	<id:c10>	<id:o10>	5	2	NA
kqnmc6t9205gtbakot8dd7d172	1635341436.6195	<id:c9>	<id:o9>	5	4	NA
kqnmc6t9205gtbakot8dd7d172	1635341458.7252	<id:c5>	<id:o5>	6	1	NA
kqnmc6t9205gtbakot8dd7d172	1635341475.1244	<id:c4>	<id:o4>	7	1	NA
kqnmc6t9205gtbakot8dd7d172	1635341492.7264	<id:c8>	<id:o8>	7	1	NA
kqnmc6t9205gtbakot8dd7d172	1635341509.2233	<id:c7>	<id:o7>	7	1	NA
kqnmc6t9205gtbakot8dd7d172	1635341523.1758	<id:c12>	<id:o12>	7	1	NA
kqnmc6t9205gtbakot8dd7d172	1635341540.7329	<id:c1>	<id:o1>	2	2	NA
kqnmc6t9205gtbakot8dd7d172	1635341558.8574	<id:c3>	<id:o3>	3	3	NA
6cupo784dkab63d4gh20cbdog2	1635342892.7555	<id:c11>	<id:o11>	5	2	Estoy deseando verle la carita
6cupo784dkab63d4gh20cbdog2	1635342921.1672	<id:c4>	<id:o4>	7	1	NA
6cupo784dkab63d4gh20cbdog2	1635343007.8376	<id:c7>	<id:o7>	2	3	....el que no tiene recursos el el que más los necesita.
6cupo784dkab63d4gh20cbdog2	1635343065.7663	<id:c9>	<id:o9>	6	2	...he decidido colaborar con esta iniciativa.
6cupo784dkab63d4gh20cbdog2	1635343092.5938	<id:c6>	<id:o6>	7	1	NA
6cupo784dkab63d4gh20cbdog2	1635343140.2298	<id:c5>	<id:o5>	5	3	...lo que mas nos preocupa son las personas.
6cupo784dkab63d4gh20cbdog2	1635343231.1797	<id:c3>	<id:o3>	1	4	Cuanto mas se acerca un programa al prime time, más tiende a cruzarse la linea roja del infoespectáculo.
6cupo784dkab63d4gh20cbdog2	1635343249.7313	<id:c12>	<id:o12>	7	1	NA
6cupo784dkab63d4gh20cbdog2	1635343270.1095	<id:c8>	<id:o8>	7	1	NA
6cupo784dkab63d4gh20cbdog2	1635343337.1303	<id:c10>	<id:o10>	4	2	...vamos intentar hacer nuestro trabajo lo más rápido posible.
6cupo784dkab63d4gh20cbdog2	1635343386.2446	<id:c1>	<id:o1>	5	3	Cuantos más hombres amaba, menos...
6cupo784dkab63d4gh20cbdog2	1635343418.5519	<id:c2>	<id:o2>	1	4	???
29ksuaqpg8hca3q5ban2ta0aq1	1635347473.474	<id:c7>	<id:o7>	7	1	NA
29ksuaqpg8hca3q5ban2ta0aq1	1635347495.6868	<id:c10>	<id:o10>	6	2	NA
29ksuaqpg8hca3q5ban2ta0aq1	1635347511.9765	<id:c11>	<id:o11>	6	2	NA
29ksuaqpg8hca3q5ban2ta0aq1	1635347527.5955	<id:c9>	<id:o9>	4	2	NA
29ksuaqpg8hca3q5ban2ta0aq1	1635347546.9229	<id:c12>	<id:o12>	7	1	NA
29ksuaqpg8hca3q5ban2ta0aq1	1635347559.3221	<id:c8>	<id:o8>	7	1	NA
29ksuaqpg8hca3q5ban2ta0aq1	1635347584.32	<id:c3>	<id:o3>	2	3	NA
29ksuaqpg8hca3q5ban2ta0aq1	1635347598.7213	<id:c6>	<id:o6>	7	1	NA
29ksuaqpg8hca3q5ban2ta0aq1	1635347623.4825	<id:c4>	<id:o4>	6	2	NA
29ksuaqpg8hca3q5ban2ta0aq1	1635347642.4046	<id:c2>	<id:o2>	5	2	NA
29ksuaqpg8hca3q5ban2ta0aq1	1635347666.3199	<id:c1>	<id:o1>	2	2	NA
29ksuaqpg8hca3q5ban2ta0aq1	1635347702.8347	<id:c5>	<id:o5>	4	3	NA
91pj22paf5902lhrjfme9oj737	1635348938.3745	<id:c4>	<id:o4>	6	1	NA
91pj22paf5902lhrjfme9oj737	1635348957.4836	<id:c5>	<id:o5>	5	2	NA
91pj22paf5902lhrjfme9oj737	1635348986.9784	<id:c3>	<id:o3>	6	2	NA
91pj22paf5902lhrjfme9oj737	1635349002.3635	<id:c10>	<id:o10>	7	1	NA
91pj22paf5902lhrjfme9oj737	1635349067.5351	<id:c11>	<id:o11>	3	3	Estoy deseando verle la carita dentro de unas semanas y saber que está sana 
91pj22paf5902lhrjfme9oj737	1635349083.2182	<id:c12>	<id:o12>	7	1	NA
91pj22paf5902lhrjfme9oj737	1635349100.1186	<id:c2>	<id:o2>	5	2	NA
91pj22paf5902lhrjfme9oj737	1635349129.3693	<id:c9>	<id:o9>	3	3	NA
91pj22paf5902lhrjfme9oj737	1635349145.8621	<id:c8>	<id:o8>	7	1	NA
91pj22paf5902lhrjfme9oj737	1635349157.0897	<id:c6>	<id:o6>	7	1	NA
91pj22paf5902lhrjfme9oj737	1635349170.3625	<id:c1>	<id:o1>	6	2	NA
91pj22paf5902lhrjfme9oj737	1635349184.5394	<id:c7>	<id:o7>	7	1	NA
3v9udcr6k4soj6d3j0gcmts612	1635357248.7464	<id:c9>	<id:o9>	1	2	NA
3v9udcr6k4soj6d3j0gcmts612	1635357264.8131	<id:c11>	<id:o11>	3	2	NA
3v9udcr6k4soj6d3j0gcmts612	1635357282.9734	<id:c2>	<id:o2>	1	4	NA
3v9udcr6k4soj6d3j0gcmts612	1635357307.39	<id:c8>	<id:o8>	7	1	NA
3v9udcr6k4soj6d3j0gcmts612	1635357325.4328	<id:c1>	<id:o1>	5	1	NA
3v9udcr6k4soj6d3j0gcmts612	1635357342.1876	<id:c6>	<id:o6>	7	1	NA
3v9udcr6k4soj6d3j0gcmts612	1635357363.4779	<id:c5>	<id:o5>	5	2	NA
3v9udcr6k4soj6d3j0gcmts612	1635357383.6891	<id:c7>	<id:o7>	6	1	NA
3v9udcr6k4soj6d3j0gcmts612	1635357406.906	<id:c10>	<id:o10>	2	2	NA
3v9udcr6k4soj6d3j0gcmts612	1635357433.2237	<id:c3>	<id:o3>	1	3	NA
3v9udcr6k4soj6d3j0gcmts612	1635357452.4545	<id:c4>	<id:o4>	6	1	NA
3v9udcr6k4soj6d3j0gcmts612	1635357464.8955	<id:c12>	<id:o12>	7	1	NA
539pdd9dgekr93nj394rrcj3q1	1635361710.7823	<id:c12>	<id:o12>	7	1	NA
539pdd9dgekr93nj394rrcj3q1	1635361744.8206	<id:c10>	<id:o10>	6	2	NA
539pdd9dgekr93nj394rrcj3q1	1635361763.8311	<id:c4>	<id:o4>	7	1	NA
539pdd9dgekr93nj394rrcj3q1	1635361780.667	<id:c5>	<id:o5>	6	1	NA
539pdd9dgekr93nj394rrcj3q1	1635361804.3604	<id:c1>	<id:o1>	3	4	NA
tcje390bjdgr9oa9mmj3v9vih5	1635361826.0467	<id:c12>	<id:o12>	7	1	NA
539pdd9dgekr93nj394rrcj3q1	1635361828.6035	<id:c6>	<id:o6>	7	1	NA
539pdd9dgekr93nj394rrcj3q1	1635361845.6254	<id:c8>	<id:o8>	6	2	NA
tcje390bjdgr9oa9mmj3v9vih5	1635361866.5464	<id:c1>	<id:o1>	5	3	Cuantos más hombres amaba menos tiempo tenía para admirarlos
539pdd9dgekr93nj394rrcj3q1	1635361876.6167	<id:c3>	<id:o3>	4	3	NA
539pdd9dgekr93nj394rrcj3q1	1635361901.998	<id:c11>	<id:o11>	4	2	NA
539pdd9dgekr93nj394rrcj3q1	1635361919.1361	<id:c9>	<id:o9>	4	2	NA
539pdd9dgekr93nj394rrcj3q1	1635361941.1586	<id:c7>	<id:o7>	7	1	NA
tcje390bjdgr9oa9mmj3v9vih5	1635361950.3907	<id:c2>	<id:o2>	5	2	NA
539pdd9dgekr93nj394rrcj3q1	1635361977.4651	<id:c2>	<id:o2>	1	3	NA
tcje390bjdgr9oa9mmj3v9vih5	1635361986.2964	<id:c7>	<id:o7>	6	2	Está claro que el que no tiene recursos es el que más necesita las ayudas
tcje390bjdgr9oa9mmj3v9vih5	1635362012.593	<id:c10>	<id:o10>	6	2	Por supuesto vamos a intentar hacer nuestro trabajo lo más rápidamente posible
tcje390bjdgr9oa9mmj3v9vih5	1635362055.6283	<id:c5>	<id:o5>	7	2	En la situación provocada por el volcán lo que más nos preocupa son las personas afectadas
tcje390bjdgr9oa9mmj3v9vih5	1635362124.7121	<id:c11>	<id:o11>	7	2	Estoy deseando verle la carita en unas semanas y saber que está sana
tcje390bjdgr9oa9mmj3v9vih5	1635362146.2718	<id:c6>	<id:o6>	7	1	NA
tcje390bjdgr9oa9mmj3v9vih5	1635362160.8091	<id:c4>	<id:o4>	7	1	NA
tcje390bjdgr9oa9mmj3v9vih5	1635362685.9124	<id:c3>	<id:o3>	4	3	Cuanto más se acerca un programa al prime time más tiende a cruzarse la línea roja de infraespectáculo
tcje390bjdgr9oa9mmj3v9vih5	1635362702.4259	<id:c8>	<id:o8>	7	1	NA
tcje390bjdgr9oa9mmj3v9vih5	1635362780.314	<id:c9>	<id:o9>	6	3	Por todos estos motivos he decidido colaborar en esta iniciativa
so935706v826k0b54t4i858eb5	1635368974.1159	<id:c8>	<id:o8>	7	1	NA
so935706v826k0b54t4i858eb5	1635369202.6182	<id:c3>	<id:o3>	3	3	Cuanto más se acerca un programa al primetime más tiende a cruzar la línea roja del i espectáculo 
so935706v826k0b54t4i858eb5	1635369272.6245	<id:c10>	<id:o10>	6	2	Por supuesto vamos a intentar hacer nuestro trabajo lo más rápido posible
so935706v826k0b54t4i858eb5	1635369298.3886	<id:c6>	<id:o6>	7	1	NA
so935706v826k0b54t4i858eb5	1635369343.5745	<id:c11>	<id:o11>	5	2	Estoy deseando verle la carita…
so935706v826k0b54t4i858eb5	1635369511.5945	<id:c7>	<id:o7>	4	3	… el que no tiene recursos es el que más las necesita
so935706v826k0b54t4i858eb5	1635369805.7425	<id:c2>	<id:o2>	1	4	NA
so935706v826k0b54t4i858eb5	1635369825.8437	<id:c4>	<id:o4>	7	1	NA
so935706v826k0b54t4i858eb5	1635369907.7691	<id:c5>	<id:o5>	5	2	Con respecto al volcán LL que más nos preocupa es la situación de las personas
so935706v826k0b54t4i858eb5	1635369956.1595	<id:c1>	<id:o1>	4	3	Cuanto más hombres amaba menos tiempo tenía para admirarlos
so935706v826k0b54t4i858eb5	1635369977.0607	<id:c12>	<id:o12>	7	1	NA
so935706v826k0b54t4i858eb5	1635370082.4205	<id:c9>	<id:o9>	6	2	Por todos estos motivos he decidido colaborar con esta iniciativa
l2m9ik9elc70j0p1pft6b7od74	1635370952.4281	<id:c6>	<id:o6>	7	1	NA
l2m9ik9elc70j0p1pft6b7od74	1635370981.1731	<id:c8>	<id:o8>	7	1	NA
l2m9ik9elc70j0p1pft6b7od74	1635371011.2477	<id:c12>	<id:o12>	7	1	NA
l2m9ik9elc70j0p1pft6b7od74	1635371054.2292	<id:c7>	<id:o7>	7	1	NA
l2m9ik9elc70j0p1pft6b7od74	1635371198.0331	<id:c11>	<id:o11>	6	2	Estoy deseando verla la carita...
l2m9ik9elc70j0p1pft6b7od74	1635371258.0863	<id:c10>	<id:o10>	6	2	Por supuesto,  vamos  a intentar hacer...
l2m9ik9elc70j0p1pft6b7od74	1635371359.9179	<id:c2>	<id:o2>	2	4	NA
l2m9ik9elc70j0p1pft6b7od74	1635371426.3337	<id:c1>	<id:o1>	5	3	Cuantos más hombres amaba...
l2m9ik9elc70j0p1pft6b7od74	1635371458.9192	<id:c4>	<id:o4>	6	1	NA
l2m9ik9elc70j0p1pft6b7od74	1635371533.7235	<id:c9>	<id:o9>	6	2	Por todos estos motivos, he decidido colaborar...
l2m9ik9elc70j0p1pft6b7od74	1635371600.483	<id:c5>	<id:o5>	5	2	NA
l2m9ik9elc70j0p1pft6b7od74	1635371803.8839	<id:c3>	<id:o3>	3	3	Cuanto más se acerca un programa  al prime time, está más cerca de cruzar la línea....
up9ail7csjoq1of73kodbnjge1	1635373913.9976	<id:c7>	<id:o7>	2	3	NA
up9ail7csjoq1of73kodbnjge1	1635373951.0314	<id:c12>	<id:o12>	7	1	NA
up9ail7csjoq1of73kodbnjge1	1635373971.66	<id:c3>	<id:o3>	2	4	NA
up9ail7csjoq1of73kodbnjge1	1635373984.7059	<id:c5>	<id:o5>	2	3	NA
up9ail7csjoq1of73kodbnjge1	1635374016.7395	<id:c11>	<id:o11>	3	2	NA
up9ail7csjoq1of73kodbnjge1	1635374053.8011	<id:c6>	<id:o6>	6	1	NA
up9ail7csjoq1of73kodbnjge1	1635374093.1622	<id:c4>	<id:o4>	4	2	NA
up9ail7csjoq1of73kodbnjge1	1635374115.2418	<id:c8>	<id:o8>	7	1	NA
up9ail7csjoq1of73kodbnjge1	1635374130.215	<id:c2>	<id:o2>	2	3	NA
up9ail7csjoq1of73kodbnjge1	1635374143.1098	<id:c10>	<id:o10>	3	2	NA
up9ail7csjoq1of73kodbnjge1	1635374155.8928	<id:c9>	<id:o9>	3	2	NA
up9ail7csjoq1of73kodbnjge1	1635374168.0092	<id:c1>	<id:o1>	2	3	NA
5rdkn0j3scnd96vco8aa1binj7	1635420399.5709	<id:c6>	<id:o6>	6	1	NA
5rdkn0j3scnd96vco8aa1binj7	1635420415.0271	<id:c8>	<id:o8>	7	1	NA
5rdkn0j3scnd96vco8aa1binj7	1635420446.8193	<id:c11>	<id:o11>	4	2	Estoy deseando verle la carita dentro de unas semanas y saber que está sana.
5rdkn0j3scnd96vco8aa1binj7	1635420499.1625	<id:c7>	<id:o7>	3	3	En cuanto a las ayudas, está claro que el que no tiene recursos es el que más las necesita.
5rdkn0j3scnd96vco8aa1binj7	1635423508.3198	<id:c12>	<id:o12>	5	1	Lo que tú necesitas es a alguien que te haga reír y te trate bien.                                                                                                 alguien que te haga reír y te trate bien.
