id	time	ID_c	ID_o	natural	familiar	alternativa
eec59082q4juc7k7shv6dblcg3	1636885602.5159	<id:c5>	<id:o5>	7	1	NA
eec59082q4juc7k7shv6dblcg3	1636885637.4503	<id:c12>	<id:o12>	7	1	NA
kmjq0l8gvvi58ej55d8gp7hne4	1636885637.8285	<id:c25>	<id:o25>	2	3	Cuanto más se enfatiza la beligerancia ante Vox, mayor pulso político recupera
kmjq0l8gvvi58ej55d8gp7hne4	1636885646.6888	<id:c6>	<id:o6>	7	1	NA
eec59082q4juc7k7shv6dblcg3	1636885654.5828	<id:c8>	<id:o8>	7	1	NA
kmjq0l8gvvi58ej55d8gp7hne4	1636885670.1267	<id:c5>	<id:o5>	6	3	lo que más
eec59082q4juc7k7shv6dblcg3	1636885675.774	<id:c25>	<id:o25>	1	4	NA
kmjq0l8gvvi58ej55d8gp7hne4	1636885682.3762	<id:c8>	<id:o8>	7	1	NA
eec59082q4juc7k7shv6dblcg3	1636885697.1167	<id:c11>	<id:o11>	6	2	NA
kmjq0l8gvvi58ej55d8gp7hne4	1636885706.181	<id:c10>	<id:o10>	5	3	intentar hacer
eec59082q4juc7k7shv6dblcg3	1636885720.7263	<id:c10>	<id:o10>	6	2	NA
kmjq0l8gvvi58ej55d8gp7hne4	1636885727.1801	<id:c11>	<id:o11>	6	2	deseando verle
eec59082q4juc7k7shv6dblcg3	1636885736.6839	<id:c7>	<id:o7>	7	1	NA
kmjq0l8gvvi58ej55d8gp7hne4	1636885750.9183	<id:c9>	<id:o9>	6	2	decidido colaborar
eec59082q4juc7k7shv6dblcg3	1636885766.9463	<id:c9>	<id:o9>	5	2	NA
eec59082q4juc7k7shv6dblcg3	1636885781.6992	<id:c6>	<id:o6>	7	1	NA
kmjq0l8gvvi58ej55d8gp7hne4	1636885782.5283	<id:c7>	<id:o7>	4	3	el que más
kmjq0l8gvvi58ej55d8gp7hne4	1636885792.7725	<id:c12>	<id:o12>	7	1	NA
0cc8ethn5otpbpkmvfvm3cpph6	1636886362.9166	<id:c25>	<id:o25>	6	2	Vox recupera tanto pulso político cuanto se enfatiza la beligerancia contra él
0cc8ethn5otpbpkmvfvm3cpph6	1636886374.2179	<id:c9>	<id:o9>	7	1	NA
0cc8ethn5otpbpkmvfvm3cpph6	1636886387.8199	<id:c8>	<id:o8>	7	1	NA
0cc8ethn5otpbpkmvfvm3cpph6	1636886401.6454	<id:c6>	<id:o6>	7	1	NA
0cc8ethn5otpbpkmvfvm3cpph6	1636886429.9192	<id:c5>	<id:o5>	6	2	... lo que más nos preocupa son las personas
0cc8ethn5otpbpkmvfvm3cpph6	1636886466.7444	<id:c10>	<id:o10>	6	2	...vamos a intentar hacer nuestro trabajo lo más rápido posible
0cc8ethn5otpbpkmvfvm3cpph6	1636886510.3757	<id:c7>	<id:o7>	5	3	... es el que más las necesita 
0cc8ethn5otpbpkmvfvm3cpph6	1636886526.0749	<id:c12>	<id:o12>	7	1	NA
0cc8ethn5otpbpkmvfvm3cpph6	1636886563.1724	<id:c11>	<id:o11>	6	2	Estoy deseando verle la carita...
qtejiouv278kcfhb9pke2jq8i6	1636886581.7389	<id:c8>	<id:o8>	5	1	NA
qtejiouv278kcfhb9pke2jq8i6	1636886602.7022	<id:c11>	<id:o11>	2	2	NA
qtejiouv278kcfhb9pke2jq8i6	1636886616.4306	<id:c6>	<id:o6>	6	1	NA
qtejiouv278kcfhb9pke2jq8i6	1636886627.213	<id:c9>	<id:o9>	2	2	NA
qtejiouv278kcfhb9pke2jq8i6	1636886634.2617	<id:c10>	<id:o10>	1	2	NA
qtejiouv278kcfhb9pke2jq8i6	1636886654.8899	<id:c12>	<id:o12>	6	1	NA
qtejiouv278kcfhb9pke2jq8i6	1636886667.3655	<id:c5>	<id:o5>	3	2	NA
qtejiouv278kcfhb9pke2jq8i6	1636886676.3377	<id:c25>	<id:o25>	1	4	NA
qtejiouv278kcfhb9pke2jq8i6	1636886687.8539	<id:c7>	<id:o7>	1	3	NA
fp91t60q38ri09bjlnfvq62vo3	1636887279.0664	<id:c9>	<id:o9>	6	2	NA
fp91t60q38ri09bjlnfvq62vo3	1636887339.2465	<id:c7>	<id:o7>	2	3	El que más / quien más las necesita. 
fp91t60q38ri09bjlnfvq62vo3	1636887364.1038	<id:c8>	<id:o8>	7	1	NA
fp91t60q38ri09bjlnfvq62vo3	1636887412.3953	<id:c5>	<id:o5>	4	2	De la situación del volcán, lo que más nos preocupa son las personas
fp91t60q38ri09bjlnfvq62vo3	1636887448.6341	<id:c10>	<id:o10>	3	2	Por supuesto, vamos a intentar hacer nuestro trabajo lo más rápido posible
fp91t60q38ri09bjlnfvq62vo3	1636887474.3012	<id:c11>	<id:o11>	2	2	Estoy deseando verle la carita dentro de unas semanas y saber que está sana.
fp91t60q38ri09bjlnfvq62vo3	1636887496.3558	<id:c25>	<id:o25>	3	3	NA
fp91t60q38ri09bjlnfvq62vo3	1636887507.1525	<id:c6>	<id:o6>	7	1	NA
fp91t60q38ri09bjlnfvq62vo3	1636887515.5991	<id:c12>	<id:o12>	7	1	NA
07ure2uhefu6mtnu5al2l0s413	1636888878.0514	<id:c7>	<id:o7>	7	1	NA
07ure2uhefu6mtnu5al2l0s413	1636888895.4013	<id:c10>	<id:o10>	5	2	NA
07ure2uhefu6mtnu5al2l0s413	1636888908.91	<id:c6>	<id:o6>	7	1	NA
07ure2uhefu6mtnu5al2l0s413	1636888922.7203	<id:c8>	<id:o8>	7	1	NA
n6cf94k3rdhf4ar8eihutuit01	1636888925.8749	<id:c8>	<id:o8>	7	1	NA
07ure2uhefu6mtnu5al2l0s413	1636888936.9888	<id:c25>	<id:o25>	4	3	NA
07ure2uhefu6mtnu5al2l0s413	1636888949.702	<id:c11>	<id:o11>	6	2	NA
n6cf94k3rdhf4ar8eihutuit01	1636888953.889	<id:c9>	<id:o9>	4	2	Por todos estos motivos he decidido colaborar en esta iniciativa. 
07ure2uhefu6mtnu5al2l0s413	1636888960.793	<id:c12>	<id:o12>	7	1	NA
n6cf94k3rdhf4ar8eihutuit01	1636888969.5778	<id:c7>	<id:o7>	7	1	NA
07ure2uhefu6mtnu5al2l0s413	1636888972.7124	<id:c9>	<id:o9>	5	2	NA
07ure2uhefu6mtnu5al2l0s413	1636888984.9927	<id:c5>	<id:o5>	5	2	NA
n6cf94k3rdhf4ar8eihutuit01	1636888996.281	<id:c11>	<id:o11>	5	2	Estoy deseando verle la varita dentro de unas semanas y saber que está sana. 
n6cf94k3rdhf4ar8eihutuit01	1636889005.8636	<id:c5>	<id:o5>	7	1	NA
n6cf94k3rdhf4ar8eihutuit01	1636889018.2112	<id:c6>	<id:o6>	7	1	NA
n6cf94k3rdhf4ar8eihutuit01	1636889035.8683	<id:c25>	<id:o25>	1	4	NA
n6cf94k3rdhf4ar8eihutuit01	1636889045.8153	<id:c12>	<id:o12>	7	1	NA
